Business Name,License Type,City,County,Sales Last Month,Period
Forbidden Farms,Processor,Tacoma,"Pierce county, WA","$1,420,386",Mar 2025
Edgemont Group,Processor,East Wenatchee,"Douglas county, WA","$1,339,568",Mar 2025
Lifted Cannabis,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$1,197,440",Mar 2025
Ncmx,Tier 3 Producer & Processor,Tacoma,"Pierce county, WA","$1,060,249",Mar 2025
Ttl Holdings,Tier None Producer & Processor,Seattle,"King county, WA","$1,017,401",Mar 2025
Clarity Farms,Tier None Producer & Processor,Othello,"Adams county, WA","$1,016,230",Mar 2025
Rolling Farms,Tier 3 Producer & Processor,Arlington,"Snohomish county, WA","$884,663",Mar 2025
Nwcs,Tier None Producer & Processor,Elma,"Grays Harbor county, WA","$839,977",Mar 2025
Dogtown Pioneers,Tier 3 Producer & Processor,Clayton,"Stevens county, WA","$791,759",Mar 2025
Botanica Seattle,Tier None Producer & Processor,Seattle,"King county, WA","$788,488",Mar 2025
Agro Couture,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$761,414",Mar 2025
Green Revolution,Tier None Producer & Processor,Poulsbo,"Kitsap county, WA","$735,724",Mar 2025
Minglewood Brands,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$729,937",Mar 2025
Alpha Crux,Tier None Producer & Processor,Ellensburg,"Kittitas county, WA","$713,457",Mar 2025
Saturn Groupceres,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$692,058",Mar 2025
Conscious Cannabis,Tier None Producer & Processor,Spokane Valley,"Spokane county, WA","$656,963",Mar 2025
Trigonal Industries,Processor,Tacoma,"Pierce county, WA","$536,238",Mar 2025
Harmony Farms,Tier 3 Producer & Processor,Lacey,"Thurston county, WA","$519,064",Mar 2025
Fire Bros,Tier None Producer & Processor,Seattle,"King county, WA","$483,026",Mar 2025
Walden Cannabis,Tier None Producer & Processor,Everett,"Snohomish county, WA","$478,307",Mar 2025
Fairwinds Manufacturing,Tier None Producer & Processor,Vancouver,"Clark county, WA","$463,026",Mar 2025
Hm Extracts,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$448,581",Mar 2025
Skord,Tier 2 Producer & Processor,Battle Ground,"Clark county, WA","$432,344",Mar 2025
Free Rain Farms,Tier 3 Producer & Processor,Ferndale,"Whatcom county, WA","$425,221",Mar 2025
Phat N Sticky,Tier 3 Producer & Processor,Spokane Valley,"Spokane county, WA","$419,474",Mar 2025
Quality Green Trees,Tier 3 Producer & Processor,Poulsbo,"Kitsap county, WA","$413,739",Mar 2025
Pacific Northwest Consulting,Tier 1 Producer & Processor,Woodland,"Cowlitz county, WA","$407,987",Mar 2025
Botanical Arts,Tier None Producer & Processor,Lake Stevens,"Snohomish county, WA","$384,513",Mar 2025
Cannabis Northwest C M,Tier None Producer & Processor,Tenino,"Thurston county, WA","$376,062",Mar 2025
Hannah Industries,Tier 2 Producer & Processor,Bellevue,"King county, WA","$371,153",Mar 2025
Blue Roots Cannabis,Tier None Producer & Processor,Airway Heights,"Spokane county, WA","$368,309",Mar 2025
Peace Valley Farms,Tier 3 Producer & Processor,Omak,"Okanogan county, WA","$355,601",Mar 2025
Seattles Private Reserve,Tier None Producer & Processor,Arlington,"Snohomish county, WA","$349,674",Mar 2025
Curations Corporation,Tier None Producer & Processor,Spokane,"Spokane county, WA","$341,454",Mar 2025
Royal Tree Gardens,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$331,753",Mar 2025
Cowlitz County Operating Holdings,Tier None Producer & Processor,Longview,"Cowlitz county, WA","$331,221",Mar 2025
Inland Empire Growing,Tier 2 Producer & Processor,Airway Heights,"Spokane county, WA","$300,274",Mar 2025
Good Karma Consulting,Tier None Producer & Processor,Riverside,"Okanogan county, WA","$298,978",Mar 2025
Ttl Holdings,Tier 2 Producer & Processor,Seattle,"King county, WA","$297,283",Mar 2025
Cultivar Farms,Tier 3 Producer & Processor,Seattle,"King county, WA","$293,535",Mar 2025
Washingtons Best,Tier None Producer & Processor,Elma,"Grays Harbor county, WA","$290,357",Mar 2025
Whole Brands Group Dba Picc Platform,Tier None Producer & Processor,Spokane,"Spokane county, WA","$285,918",Mar 2025
Cannaseurs Choice,Tier None Producer & Processor,Renton,"King county, WA","$281,002",Mar 2025
Mge Distributions,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$265,598",Mar 2025
Bacons Buds,Tier None Producer & Processor,Washougal,"Skamania county, WA","$246,106",Mar 2025
Sky High Gardens,Tier 3 Producer & Processor,Seattle,"King county, WA","$224,619",Mar 2025
Mt Baker Homegrown,Tier 1 Producer & Processor,Bellingham,"Whatcom county, WA","$222,682",Mar 2025
Sweetwater Farms,Tier 2 Producer & Processor,Cheney,"Spokane county, WA","$220,050",Mar 2025
Block 13,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$207,497",Mar 2025
Two Heads Co,Tier None Producer & Processor,Raymond,"Pacific county, WA","$202,006",Mar 2025
Sunnco Washington,Tier None Producer & Processor,Moses Lake,"Grant county, WA","$200,451",Mar 2025
Peak Supply,Tier 3 Producer & Processor,Cheney,"Spokane county, WA","$198,699",Mar 2025
Xtracted Labs,Tier None Producer & Processor,Seattle,"King county, WA","$198,632",Mar 2025
Buddy Boy Farms,Tier 3 Producer & Processor,Ford,"Lincoln county, WA","$197,753",Mar 2025
Hypothesis Gardens,Tier 2 Producer & Processor,Spokane Valley,"Spokane county, WA","$196,480",Mar 2025
Chinook Growers,Tier 3 Producer & Processor,Omak,"Okanogan county, WA","$191,910",Mar 2025
Canna Pacific,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$190,042",Mar 2025
Spark Industries,Tier 2 Producer & Processor,Tumwater,"Thurston county, WA","$188,196",Mar 2025
Royal Greens,Tier None Producer & Processor,Omak,"Okanogan county, WA","$187,458",Mar 2025
Fireline Cannabis,Tier None Producer & Processor,Arlington,"Snohomish county, WA","$186,375",Mar 2025
Georgetown Bottling Spc,Tier None Producer & Processor,Seattle,"King county, WA","$185,222",Mar 2025
Canna Organix,Tier 3 Producer & Processor,Sequim,"Clallam county, WA","$183,397",Mar 2025
Prismatic Brands,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$182,161",Mar 2025
Dcz Distribution,Tier None Producer & Processor,Arlington,"Snohomish county, WA","$180,151",Mar 2025
Oil And Gas Co,Tier None Producer & Processor,Seattle,"King county, WA","$179,385",Mar 2025
Hitz Cannabis,Tier None Producer & Processor,Yelm,"Thurston county, WA","$176,246",Mar 2025
Top Shelf,Tier None Producer & Processor,Arlington,"Snohomish county, WA","$175,911",Mar 2025
Dewey Botanicals,Tier 3 Producer & Processor,Pullman,"Whitman county, WA","$170,987",Mar 2025
Double Delicious,Tier None Producer & Processor,East Wenatchee,"Douglas county, WA","$166,864",Mar 2025
Dose Oil,Processor,Seattle,"King county, WA","$165,373",Mar 2025
Evergreen Herbal,Tier None Producer & Processor,Seattle,"King county, WA","$165,218",Mar 2025
Parks And Recreation,Tier None Producer & Processor,Spokane,"Spokane county, WA","$164,245",Mar 2025
Green And Gold Brands,Tier 2 Producer & Processor,Buckley,"Pierce county, WA","$162,603",Mar 2025
Hydro Point,Tier None Producer & Processor,Gold Bar,"Snohomish county, WA","$158,660",Mar 2025
Skagit Organics,Processor,Mount Vernon,"Skagit county, WA","$157,583",Mar 2025
Sound Cannabis,Tier None Producer & Processor,Aberdeen,"Grays Harbor county, WA","$157,563",Mar 2025
Green Haven,Tier None Producer & Processor,Darrington,"Snohomish county, WA","$157,173",Mar 2025
Ec3,Tier None Producer & Processor,Blaine,"Whatcom county, WA","$156,672",Mar 2025
Subx,Tier None Producer & Processor,Ferndale,"Whatcom county, WA","$154,488",Mar 2025
Kokua Services,Tier 2 Producer & Processor,Lacey,"Thurston county, WA","$151,434",Mar 2025
Seattle Bubble Works,Tier None Producer & Processor,Buckley,"Pierce county, WA","$149,615",Mar 2025
American Best Supply,Tier None Producer & Processor,East Wenatchee,"Douglas county, WA","$146,769",Mar 2025
NW Grower,Tier 3 Producer & Processor,Mccleary,"Grays Harbor county, WA","$145,382",Mar 2025
Heylo,Processor,Seattle,"King county, WA","$142,781",Mar 2025
Pacific NW Cultivation,Tier None Producer & Processor,Vancouver,"Clark county, WA","$142,030",Mar 2025
Dope Cooks,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$138,468",Mar 2025
Momma Chan,Tier 3 Producer & Processor,Tacoma,"Pierce county, WA","$135,967",Mar 2025
Forbidden Farms,Tier None Producer & Processor,Woodland,"Clark county, WA","$134,957",Mar 2025
5th House Farms,Tier 3 Producer & Processor,Rochester,"Thurston county, WA","$125,343",Mar 2025
Anonymous Buffalo,Processor,Seattle,"King county, WA","$123,711",Mar 2025
Alki Herbal,Tier 2 Producer & Processor,Seattle,"King county, WA","$123,158",Mar 2025
Pure Magic,Tier 2 Producer & Processor,Rochester,"Thurston county, WA","$121,898",Mar 2025
Purform Labs Distribution,Processor,Spokane Valley,"Spokane county, WA","$118,669",Mar 2025
Washington Herbals,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$118,262",Mar 2025
Legendary Laboratories,Tier 2 Producer & Processor,Spokane,"Spokane county, WA","$116,351",Mar 2025
Bondi Farms,Tier 3 Producer & Processor,Longview,"Cowlitz county, WA","$116,173",Mar 2025
O Yeah Two,Tier 2 Producer & Processor,Tumwater,"Thurston county, WA","$115,192",Mar 2025
420 Farms,Tier 3 Producer & Processor,Quincy,"Grant county, WA","$111,150",Mar 2025
Mahoney Greens,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$107,393",Mar 2025
Plant Me,Tier None Producer & Processor,Riverside,"Okanogan county, WA","$106,074",Mar 2025
Painted Rooster Cannabis Co,Tier None Producer & Processor,Moxee,"Yakima county, WA","$103,693",Mar 2025
Olympic Reef,Tier 1 Producer & Processor,Lacey,"Thurston county, WA","$102,678",Mar 2025
Suspended Brands,Tier None Producer & Processor,Belfair,"Mason county, WA","$99,828",Mar 2025
Purple Raven Farms,Tier 2 Producer & Processor,Omak,"Okanogan county, WA","$98,148",Mar 2025
Redbird,Tier None Producer & Processor,Spokane Valley,"Spokane county, WA","$98,087",Mar 2025
Verdelux Chocolates,Tier 1 Producer & Processor,Bellingham,"Whatcom county, WA","$96,663",Mar 2025
Klaritie Farms,Tier None Producer & Processor,Kelso,"Cowlitz county, WA","$95,921",Mar 2025
Clandestine Consulting,Tier 2 Producer & Processor,Acme,"Whatcom county, WA","$94,652",Mar 2025
Lucid Brands,Tier None Producer & Processor,Seattle,"King county, WA","$93,533",Mar 2025
Binx Buds,Tier None Producer & Processor,Mattawa,"Grant county, WA","$91,315",Mar 2025
Kohl Processing Enterprises,Processor,Port Townsend,"Jefferson county, WA","$90,301",Mar 2025
4evergreen Trees,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$89,596",Mar 2025
The Valley Cannabis Company,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$89,341",Mar 2025
J J Investing Company,Tier None Producer & Processor,Riverside,"Okanogan county, WA","$86,840",Mar 2025
Onyx Agronomics,Tier 3 Producer & Processor,Shelton,"Mason county, WA","$86,825",Mar 2025
The Happy Crowd,Tier 3 Producer & Processor,Cheney,"Spokane county, WA","$82,808",Mar 2025
Everigreene,Tier None Producer & Processor,Oakville,"Grays Harbor county, WA","$82,735",Mar 2025
Tacoma Greens,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$81,511",Mar 2025
Rnw Agricultural,Tier 2 Producer & Processor,Bellingham,"Whatcom county, WA","$81,130",Mar 2025
Cc Aiken,Tier None Producer & Processor,Yelm,"Thurston county, WA","$79,535",Mar 2025
The Lazy Bee Gardens,Tier None Producer & Processor,Winthrop,"Okanogan county, WA","$78,390",Mar 2025
Sgb,Tier None Producer & Processor,Seattle,"King county, WA","$78,382",Mar 2025
Green Herb Cannabis,Tier None Producer & Processor,Moses Lake,"Grant county, WA","$76,092",Mar 2025
Root Down,Tier 2 Producer & Processor,Spokane,"Spokane county, WA","$75,991",Mar 2025
Molecular Genetics Research Associates,Tier 1 Producer & Processor,Tacoma,"Pierce county, WA","$72,325",Mar 2025
Nywy,Tier None Producer & Processor,Snohomish,"Snohomish county, WA","$72,064",Mar 2025
Svin Garden,Tier 2 Producer & Processor,Stanwood,"Snohomish county, WA","$72,044",Mar 2025
Magic Time Farms,Tier 3 Producer & Processor,Elma,"Grays Harbor county, WA","$71,505",Mar 2025
Juicer Extractions,Tier None Producer & Processor,Shelton,"Mason county, WA","$70,670",Mar 2025
Pacala,Tier 3 Producer & Processor,Port Townsend,"Jefferson county, WA","$69,202",Mar 2025
Northwest Harvesting Co,Tier 2 Producer & Processor,Elma,"Grays Harbor county, WA","$69,148",Mar 2025
Ladera Farms,Tier 2 Producer & Processor,East Wenatchee,"Douglas county, WA","$68,090",Mar 2025
Cascadia,Tier None Producer & Processor,Tumwater,"Thurston county, WA","$67,685",Mar 2025
Cubix,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$63,855",Mar 2025
Luna Rever Luna Rever,Tier None Producer & Processor,Bremerton,"Kitsap county, WA","$63,530",Mar 2025
Jms Consultants,Processor,Tacoma,"Pierce county, WA","$62,310",Mar 2025
Empyreal Cannabis,Tier 2 Producer & Processor,Tacoma,"Pierce county, WA","$61,448",Mar 2025
Wannacut Farms,Tier 3 Producer & Processor,Oroville,"Okanogan county, WA","$60,019",Mar 2025
Oso Productions,Tier None Producer & Processor,Arlington,"Snohomish county, WA","$59,770",Mar 2025
4front,Tier None Producer & Processor,Tahuya,"Mason county, WA","$59,418",Mar 2025
Amerikan Weed,Tier None Producer & Processor,Auburn,"King county, WA","$59,213",Mar 2025
Vancouver Gardens,Tier 2 Producer & Processor,Woodland,"Cowlitz county, WA","$56,931",Mar 2025
Laughing Buddha Farms,Tier 2 Producer & Processor,Gold Bar,"Snohomish county, WA","$56,820",Mar 2025
Sitka Packaging,Processor,Seattle,"King county, WA","$56,526",Mar 2025
Playa Grande,Tier 1 Producer & Processor,Spokane Valley,"Spokane county, WA","$56,456",Mar 2025
Four Devils Co,Tier None Producer & Processor,Raymond,"Pacific county, WA","$56,193",Mar 2025
Hi Lyfe,Tier None Producer & Processor,Spanaway,"Pierce county, WA","$56,020",Mar 2025
Fire Bros,Tier None Producer & Processor,Seattle,"King county, WA","$55,773",Mar 2025
Mgm Groups,Tier None Producer & Processor,Quincy,"Grant county, WA","$55,749",Mar 2025
Big Daddy Purp Corp,Tier None Producer & Processor,Tonasket,"Okanogan county, WA","$55,315",Mar 2025
Freedom Farms,Tier None Producer & Processor,Spokane Valley,"Spokane county, WA","$55,179",Mar 2025
Bluedream,Tier 2 Producer & Processor,Tacoma,"Pierce county, WA","$54,116",Mar 2025
Kb Cannabis,Tier 2 Producer & Processor,Seattle,"King county, WA","$53,873",Mar 2025
Ever Green Renewable Resources,Tier 2 Producer & Processor,Vancouver,"Clark county, WA","$53,416",Mar 2025
Washington Bud Company,Tier 2 Producer & Processor,Arlington,"Snohomish county, WA","$52,388",Mar 2025
Cannasol Farms,Tier None Producer & Processor,Riverside,"Okanogan county, WA","$52,013",Mar 2025
O Yeah,Tier 3 Producer & Processor,Raymond,"Pacific county, WA","$52,009",Mar 2025
Skunk Processor,Tier None Producer & Processor,Blaine,"Whatcom county, WA","$51,468",Mar 2025
Sunshine Farming,Tier None Producer & Processor,Vancouver,"Clark county, WA","$51,260",Mar 2025
Dream Mountain Group,Tier 2 Producer & Processor,Ellensburg,"Kittitas county, WA","$50,256",Mar 2025
Squaxin Mj Tribal Compact Native Sun Grown,Tier None Producer & Processor,Shelton,"Mason county, WA","$50,026",Mar 2025
Hella Loud,Tier None Producer & Processor,Olympia,"Thurston county, WA","$49,147",Mar 2025
Inland Desert Concentrates,Processor,Benton City,"Benton county, WA","$48,854",Mar 2025
High Guys,Tier 3 Producer & Processor,Moses Lake,"Grant county, WA","$48,372",Mar 2025
28 Herbs,Tier None Producer & Processor,Lake Stevens,"Snohomish county, WA","$47,944",Mar 2025
Emerald Peaks,Processor,Seattle,"King county, WA","$47,556",Mar 2025
Amazing Gardens,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$46,659",Mar 2025
1555 Industrial,Tier 3 Producer & Processor,Longview,"Cowlitz county, WA","$46,258",Mar 2025
Cloud 9 Farms,Tier None Producer & Processor,Kelso,"Cowlitz county, WA","$45,373",Mar 2025
Integrity Extractions,Tier 1 Producer & Processor,Granite Falls,"Snohomish county, WA","$44,942",Mar 2025
Translucency,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$44,774",Mar 2025
Forever Green,Tier 2 Producer & Processor,Tacoma,"Pierce county, WA","$44,769",Mar 2025
Withit Weed,Tier None Producer & Processor,Airway Heights,"Spokane county, WA","$44,420",Mar 2025
Altum Extracts,Tier None Producer & Processor,Blaine,"Whatcom county, WA","$43,494",Mar 2025
Wawd,Tier 1 Producer & Processor,Gold Bar,"Snohomish county, WA","$43,291",Mar 2025
Sky8,Tier 2 Producer & Processor,Spokane,"Spokane county, WA","$43,148",Mar 2025
Green Rose,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$42,771",Mar 2025
Island Green Growers,Tier 2 Producer,Seattle,"King county, WA","$42,696",Mar 2025
Oly Boi,Tier None Producer & Processor,Shelton,"Mason county, WA","$42,601",Mar 2025
Ps Cannabis Investment,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$42,372",Mar 2025
Green Bluff Orchards,Tier 2 Producer & Processor,Spokane,"Spokane county, WA","$42,289",Mar 2025
Salish Sea Industries,Tier 2 Producer,Tacoma,"Pierce county, WA","$42,056",Mar 2025
Noble Farm,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$42,026",Mar 2025
NW Tiger Gardens,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$41,923",Mar 2025
Axabra,Tier 3 Producer & Processor,Spokane,"Spokane county, WA","$41,396",Mar 2025
1937 Farms,Tier None Producer & Processor,Duvall,"King county, WA","$41,307",Mar 2025
Dragon High,Tier None Producer & Processor,Everett,"Snohomish county, WA","$40,566",Mar 2025
Phdc2,Tier 2 Producer & Processor,Tacoma,"Pierce county, WA","$40,563",Mar 2025
Oz Gardenz,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$40,434",Mar 2025
Ddj Airway Boys,Tier 1 Producer & Processor,Airway Heights,"Spokane county, WA","$40,293",Mar 2025
Hood Canal Green Farms,Tier 2 Producer & Processor,Oroville,"Okanogan county, WA","$40,027",Mar 2025
Bellevue Cannabis Company,Tier None Producer & Processor,Bellevue,"King county, WA","$39,814",Mar 2025
Virtual Services,Tier 1 Producer & Processor,Bellingham,"Whatcom county, WA","$39,800",Mar 2025
Golden Tree,Tier None Producer & Processor,Lake Stevens,"Snohomish county, WA","$39,775",Mar 2025
Northern Grow,Tier 2 Producer & Processor,Arlington,"Snohomish county, WA","$39,463",Mar 2025
Grassroots Pharm,Tier 3 Producer & Processor,Lacey,"Thurston county, WA","$39,032",Mar 2025
Seven Blades Northwest,Tier None Producer & Processor,Spokane,"Spokane county, WA","$38,793",Mar 2025
Ev Enterprises,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$38,690",Mar 2025
Diamond Tree,Tier None Producer & Processor,Lake Stevens,"Snohomish county, WA","$38,102",Mar 2025
Newbee Dimension,Tier 3 Producer & Processor,Riverside,"Okanogan county, WA","$38,052",Mar 2025
Cannagroup,Tier None Producer & Processor,Raymond,"Pacific county, WA","$38,002",Mar 2025
Gold Services,Tier None Producer & Processor,Arlington,"Snohomish county, WA","$37,126",Mar 2025
Cannagold Usa,Tier 3 Producer & Processor,Raymond,"Pacific county, WA","$36,531",Mar 2025
Legendary Crossings,Tier None Producer & Processor,Arlington,"Snohomish county, WA","$36,288",Mar 2025
Dragon Head Garden,Tier None Producer & Processor,Blaine,"Whatcom county, WA","$36,180",Mar 2025
Sunbloom,Processor,Seattle,"King county, WA","$35,687",Mar 2025
Avant Gardens,Tier 2 Producer & Processor,Monroe,"Snohomish county, WA","$35,517",Mar 2025
Washington State Producer,Tier 3 Producer & Processor,Chehalis,"Lewis county, WA","$35,276",Mar 2025
Wl Growers,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$35,126",Mar 2025
Djr1 Investment,Tier None Producer & Processor,Shelton,"Mason county, WA","$35,022",Mar 2025
High End Farms,Tier None Producer & Processor,Lake Stevens,"Snohomish county, WA","$34,827",Mar 2025
Dlh Ranch,Tier 1 Producer & Processor,Springdale,"Stevens county, WA","$34,632",Mar 2025
Prime Choice Canna,Tier None Producer & Processor,Olalla,"Kitsap county, WA","$34,243",Mar 2025
Omg Sykes,Tier None Producer & Processor,Monroe,"Snohomish county, WA","$33,080",Mar 2025
Wynn,Tier None Producer & Processor,Ritzville,"Adams county, WA","$32,629",Mar 2025
Yingping,Tier None Producer & Processor,Port Townsend,"Jefferson county, WA","$31,880",Mar 2025
The Grind House,Tier 2 Producer & Processor,Spokane,"Spokane county, WA","$31,734",Mar 2025
Mama Js,Tier None Producer & Processor,Longview,"Cowlitz county, WA","$31,524",Mar 2025
Pacific Crown Cultivation,Tier 2 Producer & Processor,Centralia,"Thurston county, WA","$31,439",Mar 2025
Oneforall Unlimited,Tier 2 Producer & Processor,Anacortes,"Skagit county, WA","$30,904",Mar 2025
Mr Green Thumb,Tier 3 Producer & Processor,Arlington,"Snohomish county, WA","$30,664",Mar 2025
Heyfor Farm,Tier 3 Producer & Processor,Brewster,"Okanogan county, WA","$30,507",Mar 2025
Bella Janes,Tier None Producer & Processor,Olympia,"Thurston county, WA","$30,283",Mar 2025
Spirit Farms,Tier None Producer & Processor,Riverside,"Okanogan county, WA","$28,938",Mar 2025
Bliss Road,Tier 2 Producer & Processor,Everson,"Whatcom county, WA","$28,926",Mar 2025
Pinnacle Green,Tier None Producer & Processor,Tumwater,"Thurston county, WA","$28,745",Mar 2025
Deep Well Farms,Tier None Producer & Processor,Shelton,"Mason county, WA","$28,690",Mar 2025
High One,Tier None Producer & Processor,North Bonneville,"Skamania county, WA","$28,089",Mar 2025
Eagle Trees Farm,Tier None Producer & Processor,Deming,"Whatcom county, WA","$27,935",Mar 2025
Optimum Extracts,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$27,810",Mar 2025
Lucky Jade Productions,Tier None Producer & Processor,Ferndale,"Whatcom county, WA","$27,376",Mar 2025
First Rain Holdings,Processor,Port Townsend,"Jefferson county, WA","$27,000",Mar 2025
Ayra,Tier 2 Producer & Processor,Seattle,"King county, WA","$26,610",Mar 2025
Mako Farm,Tier None Producer & Processor,Burlington,"Skagit county, WA","$26,570",Mar 2025
Freya Farm,Tier 2 Producer & Processor,Mount Vernon,"Skagit county, WA","$26,273",Mar 2025
Ykk Grow,Tier None Producer & Processor,Kingston,"Kitsap county, WA","$26,149",Mar 2025
Yield Farms,Tier 2 Producer & Processor,Spokane,"Spokane county, WA","$26,112",Mar 2025
Full Throttle Farms,Tier None Producer & Processor,Okanogan,"Okanogan county, WA","$25,787",Mar 2025
Jbc Grow,Tier 2 Producer,Bellingham,"Whatcom county, WA","$25,735",Mar 2025
Wiseman,Tier 3 Producer & Processor,Warden,"Grant county, WA","$25,675",Mar 2025
Llv Green,Tier 3 Producer & Processor,Benton City,"Benton county, WA","$25,401",Mar 2025
Aaa Grower,Tier 2 Producer & Processor,Longview,"Cowlitz county, WA","$25,400",Mar 2025
502 Processors Group,Tier None Producer & Processor,Seattle,"King county, WA","$25,348",Mar 2025
Empyrean 2,Tier None Producer & Processor,Gold Bar,"Snohomish county, WA","$25,039",Mar 2025
Laughing Buddha Style,Tier None Producer & Processor,Duvall,"King county, WA","$24,660",Mar 2025
Umbrella Industries Usa,Tier 3 Producer & Processor,Sedro Woolley,"Skagit county, WA","$23,845",Mar 2025
Nesto Farms,Tier None Producer & Processor,Riverside,"Okanogan county, WA","$23,750",Mar 2025
Trinity Productions,Tier 3 Producer & Processor,Moses Lake,"Grant county, WA","$23,489",Mar 2025
Five Leaf Enterprise,Tier None Producer & Processor,Arlington,"Snohomish county, WA","$23,482",Mar 2025
Hazy Daze,Tier 2 Producer & Processor,Belfair,"Mason county, WA","$23,387",Mar 2025
Agape Research WA,Tier 3 Producer & Processor,Acme,"Whatcom county, WA","$23,274",Mar 2025
NW Croppers,Tier 3 Producer & Processor,Quincy,"Grant county, WA","$22,554",Mar 2025
Zoobees Doobees,Tier None Producer & Processor,Liberty Lake,"Spokane county, WA","$22,378",Mar 2025
High Five Farms,Tier None Producer & Processor,Prosser,"Benton county, WA","$22,331",Mar 2025
42 Squared,Tier None Producer & Processor,Gold Bar,"Snohomish county, WA","$21,896",Mar 2025
Washington Tower Farm,Tier 2 Producer & Processor,Hoquiam,"Grays Harbor county, WA","$21,832",Mar 2025
Phat Cat,Tier None Producer & Processor,Blaine,"Whatcom county, WA","$21,788",Mar 2025
Cannabis Reserve,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$20,600",Mar 2025
Mj Productions,Tier 1 Producer & Processor,Spokane Valley,"Spokane county, WA","$20,408",Mar 2025
Surefire Growers,Tier None Producer & Processor,Lake Stevens,"Snohomish county, WA","$20,385",Mar 2025
Fire Mountain,Tier 1 Producer & Processor,Ariel,"Cowlitz county, WA","$20,249",Mar 2025
Spanglers Special Kmh,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$20,244",Mar 2025
Happy Tree,Tier 2 Producer & Processor,Prescott,"Walla Walla county, WA","$20,012",Mar 2025
Pink Grassland,Tier None Producer & Processor,Oak Harbor,"Island county, WA","$19,979",Mar 2025
Indi Productions,Tier None Producer & Processor,Brewster,"Douglas county, WA","$19,880",Mar 2025
Millennium Green,Tier None Producer & Processor,Seattle,"King county, WA","$19,868",Mar 2025
Capital Green,Tier 2 Producer & Processor,Tonasket,"Okanogan county, WA","$19,656",Mar 2025
Hidden Exotics,Tier None Producer & Processor,Woodinville,"Snohomish county, WA","$19,182",Mar 2025
Pure Tran,Tier 3 Producer & Processor,Kennewick,"Benton county, WA","$19,151",Mar 2025
Stonehenge Gardens,Tier None Producer & Processor,Belfair,"Mason county, WA","$19,029",Mar 2025
The High Road,Tier 2 Producer & Processor,Deer Park,"Spokane county, WA","$19,007",Mar 2025
Joint Ventures,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$18,750",Mar 2025
Happy Aroma,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$18,596",Mar 2025
Olympus Gardens,Tier None Producer & Processor,Omak,"Okanogan county, WA","$18,227",Mar 2025
3w Horticulture,Tier None Producer & Processor,Gold Bar,"Snohomish county, WA","$18,089",Mar 2025
Victory Gardens Nursery,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$18,051",Mar 2025
Filucy Bay Farms,Tier 2 Producer & Processor,Moses Lake,"Grant county, WA","$17,927",Mar 2025
Road 12 Labs,Tier None Producer & Processor,Quincy,"Grant county, WA","$17,708",Mar 2025
Techbud,Processor,Brewster,"Okanogan county, WA","$17,590",Mar 2025
Fleur Delacour,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$17,384",Mar 2025
D And L Enterprises,Tier None Producer & Processor,Cheney,"Spokane county, WA","$17,296",Mar 2025
Irie Minds Farms,Tier 2 Producer & Processor,Tacoma,"Pierce county, WA","$17,283",Mar 2025
Downtown Cannabis Company,Tier 2 Producer & Processor,Seattle,"King county, WA","$17,183",Mar 2025
Weey,Tier 2 Producer & Processor,Auburn,"King county, WA","$17,144",Mar 2025
Sideways Green,Tier 2 Producer & Processor,Colville,"Stevens county, WA","$16,848",Mar 2025
Hairmo United,Tier 2 Producer & Processor,Mattawa,"Grant county, WA","$16,823",Mar 2025
Yl Development,Tier None Producer & Processor,Lynden,"Whatcom county, WA","$16,082",Mar 2025
Quality Brand,Tier None Producer & Processor,Quincy,"Grant county, WA","$16,078",Mar 2025
